id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,51434
4,이,6395
5,요,5853
6,다,5337
7,는,4907
8,어,4740
9,에,4253
10,가,3614
11,을,3162
12,은,2784
13,아,2563
14,지,2552
15,하,2333
16,니,2097
17,고,2060
18,그,2032
19,서,1845
20,한,1835
21,사,1828
22,를,1774
23,기,1761
24,해,1638
25,있,1630
26,나,1555
27,로,1550
28,리,1404
29,시,1361
30,들,1306
31,의,1286
32,게,1259
33,저,1252
34,자,1251
35,세,1203
36,일,1172
37,제,1083
38,주,1031
39,도,1010
40,마,958
41,으,920
42,수,912
43,라,895
44,내,838
45,야,821
46,보,821
47,대,786
48,우,767
49,거,765
50,오,760
51,무,751
52,었,740
53,람,718
54,했,706
55,부,698
56,면,689
57,인,679
58,정,665
59,여,662
60,습,662
61,만,648
62,말,635
63,전,634
64,없,625
65,장,624
66,생,598
67,것,578
68,구,576
69,안,571
70,까,537
71,모,524
72,상,516
73,신,514
74,소,508
75,할,504
76,려,500
77,문,483
78,너,469
79,입,464
80,때,460
81,적,449
82,간,444
83,중,441
84,국,430
85,않,429
86,비,429
87,예,428
88,음,425
89,좀,416
90,합,412
91,화,409
92,스,408
93,많,398
94,실,388
95,물,383
96,러,377
97,좋,373
98,늘,370
99,네,366
100,분,365
101,과,365
102,학,355
103,되,353
104,건,353
105,겠,350
106,위,345
107,두,345
108,래,342
109,계,341
110,바,336
111,운,334
112,동,331
113,금,331
114,았,325
115,원,317
116,녀,314
117,워,309
118,집,306
119,드,305
120,차,303
121,식,301
122,번,300
123,각,300
124,선,296
125,데,291
126,히,289
127,더,283
128,경,282
129,남,280
130,직,279
131,심,279
132,치,275
133,잘,272
134,와,272
135,방,272
136,회,269
137,버,268
138,공,267
139,미,266
140,먹,257
141,교,251
142,진,250
143,같,250
144,터,249
145,영,247
146,십,247
147,성,246
148,발,243
149,연,242
150,달,239
151,명,238
152,못,237
153,관,235
154,걸,234
155,통,233
156,결,232
157,개,232
158,행,230
159,날,230
160,유,229
161,불,229
162,당,228
163,살,223
164,용,222
165,감,220
166,편,219
167,르,218
168,작,217
169,님,216
170,속,214
171,책,210
172,배,209
173,울,208
174,머,208
175,년,208
176,조,206
177,산,201
178,싶,197
179,줄,196
180,점,196
181,매,196
182,올,194
183,얼,194
184,피,193
185,른,192
186,난,192
187,단,191
188,약,185
189,참,181
190,트,180
191,테,180
192,반,179
193,받,178
194,렸,178
195,봐,175
196,새,171
197,재,169
198,누,169
199,손,168
200,외,165
201,디,165
202,후,163
203,강,163
204,열,161
205,셨,161
206,혼,160
207,업,159
208,랑,159
209,졌,157
210,알,156
211,든,154
212,질,153
213,왔,153
214,침,151
215,친,151
216,출,151
217,험,150
218,파,148
219,희,146
220,처,146
221,갈,146
222,호,143
223,엄,142
224,양,141
225,목,141
226,밤,140
227,름,140
228,겨,139
229,났,138
230,왜,137
231,언,135
232,설,135
233,길,135
234,잠,134
235,몇,134
236,루,134
237,근,134
238,담,133
239,타,132
240,눈,132
241,표,130
242,노,128
243,빠,127
244,져,126
245,렇,126
246,삼,125
247,따,125
248,추,123
249,력,123
250,역,118
251,현,117
252,체,117
253,절,117
254,종,115
255,복,115
256,격,115
257,셔,112
258,즘,111
259,본,111
260,맞,111
261,술,110
262,됩,109
263,돌,109
264,느,109
265,천,107
266,릴,107
267,초,106
268,임,106
269,석,106
270,별,106
271,등,106
272,돼,106
273,쪽,104
274,뭐,103
275,필,102
276,죽,102
277,옷,102
278,온,102
279,법,102
280,태,101
281,최,100
282,쓰,100
283,막,100
284,돈,100
285,끝,99
286,벌,98
287,린,97
288,증,96
289,품,95
290,청,95
291,떻,95
292,갔,95
293,레,94
294,커,93
295,찾,92
296,죠,92
297,된,92
298,확,91
299,잡,90
300,씨,89
301,놓,89
302,군,89
303,창,88
304,앞,88
305,곳,88
306,병,87
307,민,87
308,월,86
309,빨,86
310,런,86
311,갑,85
312,키,84
313,죄,84
314,넘,84
315,송,83
316,포,82
317,백,82
318,밖,82
319,환,81
320,망,81
321,될,81
322,색,78
323,변,78
324,귀,78
325,평,77
326,였,77
327,애,77
328,족,76
329,떨,76
330,급,74
331,형,73
332,혀,73
333,쉬,73
334,깨,73
335,활,72
336,프,72
337,크,72
338,판,71
339,악,71
340,써,71
341,답,71
342,움,70
343,독,70
344,칠,68
345,취,68
346,쳤,67
347,능,67
348,농,67
349,갖,67
350,힘,66
351,탁,66
352,축,66
353,료,66
354,락,66
355,놀,65
356,철,64
357,웠,64
358,순,64
359,박,64
360,림,63
361,록,63
362,랐,63
363,특,62
364,카,62
365,채,62
366,승,62
367,떠,62
368,늦,62
369,풍,61
370,팔,61
371,코,61
372,찍,61
